scenario_P1,scenario_Qg1,scenario_Qg2,scenario_AC1_Nom_1,scenario_AC1_Nom_2,scenario_AC1_Nom_3,scenario_AC1_Nom_4,scenario_AC1_Nom_5,scenario_AC1_Nom_6,scenario_AC1_MinTol_1,scenario_AC1_MinTol_2,scenario_AC1_MinTol_3,scenario_AC1_MinTol_4,scenario_AC1_MinTol_5,scenario_AC1_MinTol_6,scenario_AC1_MaxTol_1,scenario_AC1_MaxTol_2,scenario_AC1_MaxTol_3,scenario_AC1_MaxTol_4,scenario_AC1_MaxTol_5,scenario_AC1_MaxTol_6,scenario_AC2_Nom_1,scenario_AC2_Nom_2,scenario_AC2_Nom_3,scenario_AC2_Nom_4,scenario_AC2_Nom_5,scenario_AC2_Nom_6,scenario_AC2_MinTol_1,scenario_AC2_MinTol_2,scenario_AC2_MinTol_3,scenario_AC2_MinTol_4,scenario_AC2_MinTol_5,scenario_AC2_MinTol_6,scenario_AC2_MaxTol_1,scenario_AC2_MaxTol_2,scenario_AC2_MaxTol_3,scenario_AC2_MaxTol_4,scenario_AC2_MaxTol_5,scenario_AC2_MaxTol_6,scenario_DC_Nom_1,scenario_DC_Nom_2,scenario_DC_MinTol_1,scenario_DC_MinTol_2,scenario_DC_MaxTol_1,scenario_DC_MaxTol_2,solution_N_vw1,solution_N_vw2,solution_Qcab1_interm,solution_Qcab2_interm,solution_Qf1_interm,solution_Qf2,solution_Rdc,solution_Vac1,solution_Vac2,solution_Vdc1,solution_Xtr1_pu,solution_Xtr2_pu,solution_ucab1,solution_ucab2,solution_uf1,solution_uf2,solution_w1,solution_w2
978000000,582000000,614000000,396000,314.159265358979,18000000,43000000,428000,0.12,-5,-3,-4,-3,-5,-5,1,3,5,1,2,5,388000,314.159265358979,14000000,41000000,412000,0.12,-1,-5,-4,-1,-5,-1,2,3,5,2,2,2,14,525000,-2,-2,3,5,415800,425700,23740764.5917146,16125611.3095541,50370809.4207814,47524258.5071479,0.800053083693245,360000,360000,318400,0.142501943599756,0.142538264414367,1,1,1,1,298.514219293349,358.188775640359
1186000000,529000000,611000000,414000,314.159265358979,26000000,48000000,414000,0.15,-5,-1,-4,-1,-3,-1,1,4,4,1,4,1,420000,314.159265358979,19000000,57000000,437000,0.17,-5,-5,-2,-5,-2,-3,3,5,3,1,4,1,6,570000,-1,-3,5,2,415800,425700,23905427.4971333,17287711.3134218,52381731.8888269,49406679.1219951,0.79999982480844,360000,360000,318400,0.14249999955661,0.142647818086996,1,1,1,1,299.511742405771,358.301200614083
978000000,614000000,690000000,400000,314.159265358979,22000000,42000000,447000,0.18,-4,-2,-5,-4,-4,-5,3,5,1,5,2,1,415000,314.159265358979,20000000,40000000,426000,0.18,-2,-1,-3,-3,-1,-3,2,2,2,2,3,5,12,569000,-3,-3,3,3,415800,425700,23737103.9367139,16397874.6840979,50162805.7067347,47985760.7776056,0.800000118262837,360000,360000,318400,0.142529353843545,0.14249992537909,1,1,1,1,298.532590195996,358.143159760658
1069000000,692000000,538000000,383000,314.159265358979,22000000,55000000,436000,0.15,-5,-3,-5,-3,-4,-5,3,3,1,3,1,2,406000,314.159265358979,23000000,40000000,447000,0.17,-4,-4,-4,-1,-1,-5,4,1,1,4,4,3,12,536000,-5,-2,5,5,415800,425700,23553021.6743374,16550475.5937938,52391948.0548055,47933238.678158,0.800000346262961,360000,360000,318400,0.142501944012127,0.142499998417927,1,1,1,1,299.395221417439,358.222095405358
1066000000,631000000,618000000,420000,314.159265358979,24000000,55000000,435000,0.14,-1,-2,-2,-3,-1,-3,2,3,1,5,4,1,403000,314.159265358979,14000000,57000000,414000,0.17,-2,-3,-4,-1,-1,-1,5,5,3,4,1,4,9,570000,-2,-3,1,2,415800,425700,23965576.0267248,16215547.6999498,52022719.6954457,49595832.8228043,0.799999997187157,360000.000000004,360000,318400,0.142499999999443,0.142500000006624,1,1,1,1,299.69738979256,358.458618354997
845000000,672000000,612000000,406000,314.159265358979,16000000,60000000,434000,0.18,-5,-5,-4,-1,-2,-4,4,4,2,3,1,5,416000,314.159265358979,27000000,40000000,430000,0.13,-4,-3,-2,-5,-4,-4,2,5,4,3,1,1,10,560000,-5,-4,1,1,415800,425700,22216323.9538555,16055713.8153864,50614038.3807072,47680470.2093921,0.799999857531274,360000.47489217,360000,318400,0.142499999999695,0.142499694117694,1,1,1,1,303.134668467851,358.227528914546
1085000000,681000000,649000000,418000,314.159265358979,17000000,47000000,422000,0.13,-5,-2,-3,-4,-5,-5,4,4,4,5,2,1,382000,314.159265358979,30000000,47000000,439000,0.16,-2,-5,-2,-2,-1,-3,1,3,4,3,5,5,13,513000,-1,-4,3,2,415800,425700,18842915.9649927,18758861.7281798,47728491.8601397,49837981.6466893,0.8,360000,360000,318400,0.1425,0.1425,1,1,1,1,298.45130209103,358.141562509236
1030000000,613000000,566000000,394000,314.159265358979,22000000,48000000,436000,0.12,-4,-4,-4,-3,-4,-1,5,3,2,4,5,1,409000,314.159265358979,21000000,41000000,432000,0.16,-4,-5,-5,-3,-2,-2,2,5,5,1,2,1,15,521000,-3,-4,3,5,415800,425700,21322596.8768942,16083840.9756853,52068781.2281653,47600840.9583943,0.8,367080.132029554,360827.345893493,318400.114112999,0.142540108595606,0.1425,1,1,1,1,298.45130209103,358.157854692844
985000000,688000000,548000000,399000,314.159265358979,26000000,48000000,450000,0.15,-2,-2,-3,-4,-2,-1,3,5,5,5,4,5,416000,314.159265358979,12000000,45000000,449000,0.14,-1,-4,-1,-1,-2,-3,5,1,3,4,2,3,13,503000,-2,-5,5,5,415800,425700,23732435.9312009,19839126.4303769,52121989.3047801,49875950.8294445,0.800009307307157,373721.911479187,361631.954484911,318400,0.142657399170291,0.142500744844855,1,1,1,1,298.738271751989,358.147165486738
1034000000,586000000,640000000,393000,314.159265358979,24000000,54000000,412000,0.15,-5,-1,-3,-4,-5,-1,2,5,5,2,2,2,395000,314.159265358979,30000000,46000000,421000,0.13,-2,-3,-1,-4,-1,-5,5,1,5,3,1,4,14,540000,-5,-5,1,1,415800,425700,23671786.9040514,16866293.2758991,51611505.5498033,47961596.64301,0.800007225335496,360000,360000,318400,0.142499140576782,0.142500010049034,1,1,1,1,298.817435833627,358.164709621789
1137000000,673000000,667000000,388000,314.159265358979,16000000,47000000,423000,0.14,-5,-1,-2,-2,-4,-3,4,1,1,5,1,2,391000,314.159265358979,15000000,55000000,434000,0.16,-5,-5,-4,-3,-4,-3,1,3,2,5,1,1,7,525000,-4,-5,1,3,415800,425700,23013034.2614252,17535127.2531291,51878815.2673849,47714507.3488057,0.799999647909761,360000,360000,318400,0.1425,0.142500018113063,1,1,1,1,298.501096906813,358.1415638501
1143000000,518000000,588000000,402000,314.159265358979,28000000,47000000,429000,0.15,-5,-1,-2,-1,-5,-4,2,3,4,4,4,3,394000,314.159265358979,24000000,42000000,437000,0.13,-1,-1,-3,-2,-3,-4,4,1,4,5,1,2,14,559000,-2,-1,4,5,415800,425700,20557744.2656957,16236937.2896446,50503889.2411903,47963553.4234856,0.8,360000,360000,318400,0.1425,0.1425,1,1,1,1,298.535694684197,358.141562509236
1155000000,568000000,581000000,387000,314.159265358979,11000000,41000000,426000,0.13,-5,-2,-2,-2,-2,-5,5,1,1,3,5,2,398000,314.159265358979,23000000,51000000,427000,0.12,-5,-2,-2,-5,-5,-3,3,3,2,5,5,3,6,554000,-5,-1,4,5,415800,425700,22814994.5434497,18227546.9626688,52494392.6398002,47895326.6716813,0.800000014796182,360000,360000,318400,0.142503522733634,0.142566078524941,1,1,1,1,299.768557437774,358.156358611705
1116000000,700000000,555000000,419000,314.159265358979,14000000,46000000,442000,0.17,-4,-5,-4,-3,-3,-4,4,5,2,2,1,3,380000,314.159265358979,15000000,43000000,446000,0.12,-5,-2,-4,-2,-2,-2,2,4,5,1,5,1,11,518000,-1,-1,1,3,415800.00147013,425700,22882721.6811826,18730432.6555107,53943221.4206524,49725373.3155157,0.844929948145921,360000,361048.160931191,318400,0.149877057163368,0.143138171841959,1,1,1,1,321.219050609589,378.171154929954
887000000,521000000,511000000,405000,314.159265358979,25000000,45000000,443000,0.15,-3,-4,-2,-4,-1,-3,4,2,5,1,4,4,383000,314.159265358979,17000000,41000000,445000,0.17,-4,-4,-1,-1,-3,-2,4,3,2,3,5,4,8,560000,-3,-4,1,1,415802.172627386,425700.48322601,19592598.0216058,23532554.848718,26420.7233853775,50705543.6645696,0.900872264757215,403403.786981519,383893.49424452,318400,0.14426202226586,0.143237350897234,1,1,1,1,299.110976629963,385.204804447469
